,date_time,user_name,in_out,user_class
386,2023-07-24 17:10:27,쩨다카,IN,Not defined
387,2023-07-24 17:20:15,뽕기릿-노비스,IN,노비스
388,2023-07-24 18:02:24,gitae6889/노비스,IN,노비스
389,2023-07-24 18:13:34,김무스-노비스,IN,노비스
390,2023-07-24 18:15:52,박잉어 - 노비스,IN,노비스
391,2023-07-24 19:23:54,이주영_노비스,IN,노비스
392,2023-07-24 20:59:10,맹자/노비스,IN,노비스
393,2023-07-24 21:57:53,훈3-노비스,IN,노비스
394,2023-07-24 22:58:29,빙그르린이는애벌레-노비스,IN,노비스
395,2023-07-24 23:24:49,다이니아빠 - 노비스,IN,노비스
396,2023-07-25 03:01:08,지호정 노비스,IN,노비스
397,2023-07-25 03:05:00,부산촌놈 - 노비스,IN,노비스
398,2023-07-25 11:00:02,은쟈닝-워프수강생,IN,수강생
399,2023-07-25 11:12:33,멋쟁이 프로도,IN,Not defined
400,2023-07-25 13:24:27,기타치는 튜브,IN,Not defined
401,2023-07-25 13:32:47,이승민,IN,Not defined
402,2023-07-25 15:32:48,김태준 - 노비스,OUT,노비스
403,2023-07-25 16:17:24,Irritated Neo,OUT,Not defined
404,2023-07-25 19:26:00,김카읽 - 노비스,IN,노비스
405,2023-07-25 20:26:27,부자된뽀이-노비스,IN,노비스
406,2023-07-25 22:36:54,김민채,IN,Not defined
407,2023-07-25 22:49:56,비비안로아-노비드,IN,Not defined
408,2023-07-26 03:15:14,빛의원형,IN,Not defined
409,2023-07-26 04:46:05,doimamㅡ입문노마드,IN,Not defined
410,2023-07-26 08:30:56,배불뚝 제이지,IN,Not defined
411,2023-07-26 09:21:46,초보자 - 노비스,IN,노비스
412,2023-07-26 09:50:01,깡연걸-노비스,IN,노비스
413,2023-07-26 10:40:02,행복부자가치 - 노비스,IN,노비스
414,2023-07-26 10:45:07,행복부자가치 - 노비스,OUT,노비스
415,2023-07-26 10:57:45,행복부자가치 - 노비스,IN,노비스
416,2023-07-26 11:23:31,yonghwan0688,IN,Not defined
417,2023-07-26 11:28:05,타주 - 노비스,IN,노비스
418,2023-07-26 11:37:56,꼬야- 노비스,OUT,노비스
419,2023-07-26 12:23:28,도마존-워프수강생,IN,수강생
420,2023-07-26 12:49:41,꼬맹1,IN,Not defined
421,2023-07-26 13:38:19,히릭0912-노비스,IN,노비스
422,2023-07-26 14:25:39,탱-노비스,IN,노비스
423,2023-07-26 16:01:17,모글리 - 매처,IN,매처
424,2023-07-26 16:55:47,롬꼼 - 노비스,IN,노비스
425,2023-07-26 20:25:59,aquatic-노비스,IN,노비스
426,2023-07-26 20:42:30,사자-노비스,IN,노비스
427,2023-07-26 21:41:20,화달-노비스,IN,노비스
428,2023-07-26 21:45:07,화달-노비스,OUT,노비스
